expression,reading,meaning,tags,guid,vietnamese_definition
文化財,ぶんかざい,"cultural assets, cultural property",JLPT_1 JLPT,GKrt{zi]?g,Di sản văn hóa
分業,ぶんぎょう,"division of labor, specialization, assembly-line production",JLPT_1 JLPT,BTtV3{+^[7,Phân công lao động
文語,ぶんご,"written language, literary language",JLPT_1 JLPT,O2yEclYZ/f,Nhật Bản cổ điển
分散,ぶんさん,"dispersion, decentralization, variance (statistics)",JLPT_1 JLPT,w2^IG)[nB&,sự phân tán
分子,ぶんし,"numerator, molecule",JLPT_1 JLPT,rK-5&@bZ0^,phân tử
紛失,ふんしつ,losing something,JLPT_1 JLPT,j5|sBvq.}8,Mất
噴出,ふんしゅつ,"spewing, gushing, spouting",JLPT_1 JLPT,D3z2#~XD*U,Xịt
文書,ぶんしょ,"document, writing",JLPT_1 JLPT,bo]+8nZw?m,tài liệu
紛争,ふんそう,"dispute, trouble, strife",JLPT_1 JLPT,OV3#PrQH78,xung đột
ふんだん,ふんだん,"plentiful, abundant, lavish",JLPT_1 JLPT,MwIZm`m=c%,Nhiều
分担,ぶんたん,"apportionment, sharing",JLPT_1 JLPT,gy+k.s^o1O,Phân công lao động
奮闘,ふんとう,"hard struggle, strenuous effort",JLPT_1 JLPT,L`X>(7GS~^,Đang gặp khó khăn
分配,ぶんぱい,"division, sharing",JLPT_1 JLPT,r[[VI2iWnz,phân phát
分母,ぶんぼ,denominator,JLPT_1 JLPT,BM+H~/z91A,mẫu số
粉末,ふんまつ,fine powder,JLPT_1 JLPT,O?vF%vQ*a#,bột
分離,ぶんり,"separation, detachment, segregation",JLPT_1 JLPT,u?^XP3ZSZ),Sự tách biệt
分裂,ぶんれつ,"split, division, break up",JLPT_1 JLPT,FG95S7^tJT,Tách ra
ペア,ペア,"pair, pear",JLPT_1 JLPT,k=Nb=9qw5N,đôi
兵器,へいき,"arms, weapons, ordinance",JLPT_1 JLPT,wAUL<0|lY_,vũ khí
閉口,へいこう,shut mouth,JLPT_1 JLPT,g74gm$0hDG,miệng khép kín
閉鎖,へいさ,"closing, closure, shutdown",JLPT_1 JLPT,m*Y:Rj#(nz,đóng cửa
兵士,へいし,soldier,JLPT_1 JLPT,B3%=Tm.br`,lính
平常,へいじょう,"normal, usual",JLPT_1 JLPT,i$h--6kH#|,thường xuyên
平方,へいほう,"square (e.g., meter, square)",JLPT_1 JLPT,pZOmk8w#A@,quảng trường
並列,へいれつ,"arrangement, parallel, abreast",JLPT_1 JLPT,QDMVtj-X)],Song song
ベース,ベース,"base, bass",JLPT_1 JLPT,m~Et>&CToA,căn cứ
辟易,へきえき,"wince, shrink back, succumbing to, being frightened",JLPT_1 JLPT,wo~f0ok]vp,Tôi chán ngấy rồi
ぺこぺこ,ぺこぺこ,"fawn, be very hungry",JLPT_1 JLPT,F.Cz<ZL1y8,đói bụng
ベスト,ベスト,best; vest,JLPT_1 JLPT,kVQ_O=hpyu,Tốt nhất
ベストセラー,ベストセラー,best-seller,JLPT_1 JLPT,"k[DIJ,exg`",sách bán chạy nhất
隔たる,へだたる,to be distant,JLPT_1 JLPT,b4BPS$[Q>/,Sự tách biệt
縁,へり,edge,JLPT_1 JLPT,g}BbfTHa#|,bờ rìa
へりくだる,へりくだる,to deprecate oneself and praise the listener,JLPT_1 JLPT,fb3Sk}Zmt.,khiêm tốn
弁解,べんかい,"explanation, justification, excuse",JLPT_1 JLPT,Eu*5BbIK^d,thứ lỗi
変革,へんかく,"change, reform(the) Reformation",JLPT_1 JLPT,JH(PT>%qS{,sự biến đổi
返還,へんかん,"return, restoration",JLPT_1 JLPT,F`|5A?wBp8,trở lại
便宜,べんぎ,"convenience, accommodation",JLPT_1 JLPT,uw9O+5v>m#,Rẻ
偏見,へんけん,"prejudice, narrow view",JLPT_1 JLPT,H5~Io~/)~0,thiên vị
弁護,べんご,"defense, pleading, advocacy",JLPT_1 JLPT,rHoP07l#m/,Phòng thủ
返済,へんさい,repayment,JLPT_1 JLPT,G.5i-maV%u,trả lại
弁償,べんしょう,"compensation, reparation, reimbursement",JLPT_1 JLPT,H^-g_F:FjG,Đền bù
変遷,へんせん,"change, transition, vicissitudes",JLPT_1 JLPT,qt*X5m;y07,Thay đổi
返答,へんとう,reply,JLPT_1 JLPT,A+kZ]*6U1q,hồi đáp
変動,へんどう,"change, fluctuation",JLPT_1 JLPT,"giBey3?e,4",sự biến động
弁論,べんろん,"discussion, debate, argument",JLPT_1 JLPT,A=n2+Ps#LJ,lý lẽ
穂,ほ,"ear (of plant), head (of plant)",JLPT_1 JLPT,c0##(*ojkQ,Tai
保育,ほいく,"nursing, nurturing, rearing",JLPT_1 JLPT,i3iCkIhG8y,Chăm sóc trẻ em
ボイコット,ボイコット,boycott,JLPT_1 JLPT,mR[e%~Ga7o,tẩy chay
ポイント,ポイント,point,JLPT_1 JLPT,J#f7z)[.2},điểm
法案,ほうあん,bill (law),JLPT_1 JLPT,G67]H`pE*(,hóa đơn
防衛,ぼうえい,"defense, protection, self-defense",JLPT_1 JLPT,D~[_4zhU{o,phòng thủ
防火,ぼうか,"fire prevention, fire fighting, fire proof",JLPT_1 JLPT,nk53s<H-ud,phòng cháy chữa cháy
崩壊,ほうかい,"collapse, decay (physics), crumbling",JLPT_1 JLPT,"jGI8,H>%=u",Sụp đổ
妨害,ぼうがい,"disturbance, obstruction, interference",JLPT_1 JLPT,k0?pSKRG!b,Sự can thiệp
法学,ほうがく,"law, jurisprudence",JLPT_1 JLPT,Mp|Wasr2Aa,Luật học
封建,ほうけん,feudalistic,JLPT_1 JLPT,I3}@<tlawU,phong kiến
豊作,ほうさく,"abundant harvest, bumper crop",JLPT_1 JLPT,DcQa/!NBRf,mùa màng bội thu
方策,ほうさく,"plan, policy",JLPT_1 JLPT,jAYb5%jhb,chính sách
奉仕,ほうし,"attendance, service",JLPT_1 JLPT,jl!5Ew9{A&,dịch vụ
方式,ほうしき,"form, method, system",JLPT_1 JLPT,JK5hiz`$ai,Đường
放射,ほうしゃ,"radiation, emission",JLPT_1 JLPT,s&NZ<R!wMX,bức xạ
放射能,ほうしゃのう,radioactivity,JLPT_1 JLPT,gGVwqx%~R],phóng xạ
報酬,ほうしゅう,"remuneration, recompense, reward",JLPT_1 JLPT,f3~#Hf{b;R,Phần thưởng
放出,ほうしゅつ,"release, emit",JLPT_1 JLPT,sh*BL^`)[I,giải phóng
報じる,ほうじる,"to inform, to report",JLPT_1 JLPT,JFEJ]`)bZ8,Báo cáo
報ずる,ほうずる,"to inform, to report",JLPT_1 JLPT,"KRvk3^-|,F",Báo cáo
紡績,ぼうせき,spinning,JLPT_1 JLPT,c(WbBZ;AX4,quay
呆然,ぼうぜん,"dumbfounded, overcome with surprise",JLPT_1 JLPT,"D,29%Cq6kO",Choáng váng
放置,ほうち,"leave as is, leave alone, neglect",JLPT_1 JLPT,v(CYy#&;?A,địa điểm
膨張,ぼうちょう,"expansion, swelling, increase",JLPT_1 JLPT,yrEhMT2lD[,sự mở rộng
法廷,ほうてい,courtroom,JLPT_1 JLPT,DT=sfW*:r&,tòa án
報道,ほうどう,"coverage, report",JLPT_1 JLPT,c6C5#ID_tl,Bản tin
冒頭,ぼうとう,"beginning, start, outset",JLPT_1 JLPT,j#7sz+T+0t,bắt đầu
暴動,ぼうどう,"insurrection, riot, uprising",JLPT_1 JLPT,z>Vj=5Gt8G,cuộc náo loạn
褒美,ほうび,"reward, prize",JLPT_1 JLPT,p$ZOw#.2V@,phần thưởng
暴風,ぼうふう,"storm, windstorm, gale",JLPT_1 JLPT,G7m5?HCHEG,bão
葬る,ほうむる,"to bury, to entomb",JLPT_1 JLPT,o:m}t1oj2f,chôn
放り込む,ほうりこむ,to throw into,JLPT_1 JLPT,eWW}rHT.ef,ném nó vào
放り出す,ほうりだす,"to throw out, to give up, to abandon",JLPT_1 JLPT,x@6@j{vH4g,Vứt bỏ
暴力,ぼうりょく,violence,JLPT_1 JLPT,"bBwqHP,dIr",Bạo lực
飽和,ほうわ,saturation,JLPT_1 JLPT,e-F){8|6>q,độ bão hòa
ホース,ホース,hose,JLPT_1 JLPT,mR5}X@MWM{,vòi nước
ポーズ,ポーズ,pause,JLPT_1 JLPT,o2eqJ-PY$U,Tư thế
ホール,ホール,hall; hole,JLPT_1 JLPT,g=V#H+1mJd,hố
保温,ほおん,"retaining warmth, keeping heat in, heat insulation",JLPT_1 JLPT,caxU`1c?H},Cách nhiệt
捕獲,ほかく,"capture, seizure",JLPT_1 JLPT,b>64#LmJ&_,chiếm lấy
保管,ほかん,"custody, safekeeping, storage",JLPT_1 JLPT,dQ*M>yKiW},kho
補給,ほきゅう,"supply, supplying, replenishment",JLPT_1 JLPT,Dc(.H5{&b@,Cung cấp
補強,ほきょう,reinforcement,JLPT_1 JLPT,J3$|<dn.re,Gia cố
募金,ぼきん,"fund-raising, collection of funds",JLPT_1 JLPT,h)Vl=R>l^q,Quyên góp
牧師,ぼくし,"pastor, minister, clergyman",JLPT_1 JLPT,pz`YHSooKr,linh mục
捕鯨,ほげい,whaling,JLPT_1 JLPT,x$O*osSX;x,săn cá voi
惚ける,ぼける,"to grow senile, to fade",JLPT_1 JLPT,q*FJd;okG=,Giả vờ như không biết
保険,ほけん,"insurance, guarantee",JLPT_1 JLPT,Bet5?24idk,bảo hiểm
母校,ぼこう,alma mater,JLPT_1 JLPT,qX^1y@?`G[,trường đại học
母国,ぼこく,one's home country (same as 自分の国 (じぶんのくに)),JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,bSW6]:G@H?,Quê hương
誇る,ほこる,"to boast of, to be proud of",JLPT_1 JLPT,M-#?~#CKEe,tự hào
綻びる,ほころびる,"to come apart at the seams, to smile broadly",JLPT_1 JLPT,IzpFoG;o+q,bắt đầu mở
干し～,ほし～,dried ~,JLPT_1 JLPT,is?TC|:$uN,Sấy khô
ポジション,ポジション,position,JLPT_1 JLPT,PnsJ9Y`/xy,chức vụ
干し物,ほしもの,dried washing (clothes,JLPT_1 JLPT,fiEpVY&=zT,Thực phẩm khô
保守,ほしゅ,"conservative, maintaining",JLPT_1 JLPT,HeA:gQu%kE,giữ
補充,ほじゅう,"supplementation, replenishment, replenishing",JLPT_1 JLPT,ovQ+M7ILU),Bổ sung
補助,ほじょ,"assistance, support, auxiliary",JLPT_1 JLPT,m?5D3_JP+},phụ trợ
舗装,ほそう,"pavement, road surface",JLPT_1 JLPT,glr.;x9$x0,vỉa hè
補足,ほそく,"supplement, complement",JLPT_1 JLPT,inE4~;vRlL,thực phẩm bổ sung
墓地,ぼち,"cemetery, graveyard",JLPT_1 JLPT,nNMpx>zT&},nghĩa trang
発作,ほっさ,"fit, attack",JLPT_1 JLPT,J-l0g]=x_p,co giật
没収,ぼっしゅう,forfeited,JLPT_1 JLPT,FTZs|u+c%T,Tịch thu
発足,ほっそく,"starting, inauguration",JLPT_1 JLPT,zOAVt?|e(1,Thành lập
ポット,ポット,pot,JLPT_1 JLPT,eLxlfyvQa!,chậu
ほっぺた,ほっぺた,cheek,JLPT_1 JLPT,Jt@~gSztWD,má
ぼつぼつ,ぼつぼつ,"gradually, here and there, spots",JLPT_1 JLPT,jz~OVH6f~Q,Dần dần
没落,ぼつらく,"ruin, fall, collapse",JLPT_1 JLPT,qo9QqJE?e^,sự suy sụp
解ける,ほどける,"to come untied, to come apart",JLPT_1 JLPT,DA{v}3+Lp$,Giải quyết nó
施す,ほどこす,"to give, to conduct, to perform",JLPT_1 JLPT,gYMa.e[yq>,quản lý
ほとり,ほとり,vicinity of lake; river,JLPT_1 JLPT,h5B>a}=Y4~,Hotori
ぼやく,ぼやく,"to grumble, to complain",JLPT_1 JLPT,DOH?PxBsC~,càu nhàu
ぼやける,ぼやける,"to become dim, to become blurred",JLPT_1 JLPT,"rB,1PHpB=G",mờ
保養,ほよう,"health preservation, recuperation, recreation",JLPT_1 JLPT,Q#{ir6[3o?,bảo trì
捕虜,ほりょ,prisoner of war,JLPT_1 JLPT,qxd6jwjQC6,tù binh chiến tranh
ボルト,ボルト,volt; bolt,JLPT_1 JLPT,FZLDQ~YD+C,bu lông
滅びる,ほろびる,"to be ruined, to perish, to be destroyed",JLPT_1 JLPT,"O_YU5EzmO,",chết
滅ぼす,ほろぼす,"to destroy, to overthrow, to ruin",JLPT_1 JLPT,eOA1)SbQq#,hủy hoại
本格,ほんかく,"propriety, full-scale",JLPT_1 JLPT,DzD$oDSZg.,Thật
本館,ほんかん,main building,JLPT_1 JLPT,rO)PGxv/$V,Tòa nhà chính
本気,ほんき,"seriousness, truth, sanctity",JLPT_1 JLPT,m?pL_oxeK4,Nghiêm trọng
本国,ほんごく,one's own country,JLPT_1 JLPT,HviGkp(Y>O,Quốc gia này
本質,ほんしつ,"essence, true nature, reality",JLPT_1 JLPT,HQcPpLF4DH,thiên nhiên
本体,ほんたい,"substance, body, trunk",JLPT_1 JLPT,"f]jl3TlH~,",Đơn vị chính
本音,ほんね,"(one's) real intention, motive",JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,Li:D?QHH;~,Cảm xúc chân thành
本能,ほんのう,instinct,JLPT_1 JLPT,LYsP`F`>Yc,bản năng
本場,ほんば,"home, best place, genuine",JLPT_1 JLPT,L1wT%E>`J`,Trận đấu này
ポンプ,ポンプ,pump,JLPT_1 JLPT,iq>r8*xxvq,bơm
本文,ほんぶん,"text (of document), body (of letter)",JLPT_1 JLPT,OPcHo]s_IF,Bài viết này
本名,ほんみょう,real name,JLPT_1 JLPT,tgSVI-BSzp,Tên thật
マーク,マーク,mark,JLPT_1 JLPT,xSmh(Hx|6s,đánh dấu
マイ～,マイ～,"my ~, one's own ~",JLPT_1 JLPT,M3C.y[*%DG,Của tôi
マイクロフォン,マイクロフォン,microphone,JLPT_1 JLPT,"O(^,e1PC5c",micro
埋蔵,まいぞう,"buried property, treasure trove",JLPT_1 JLPT,x=IBNay?qY,Chôn cất
舞う,まう,"to dance, to flutter about, to revolve",JLPT_1 JLPT,E~)$*yPg`;,Nhảy múa
真上,まうえ,"just above, right overhead",JLPT_1 JLPT,d)IsOG^B=),Ngay phía trên
前売,まえうり,"advance sale, booking",JLPT_1 JLPT,bq0PjYAHh(,Vé đặt trước
前置き,まえおき,"preface, introduction",JLPT_1 JLPT,w66ywP/&&4,Lời tựa
任す,まかす,"to entrust, to leave to a person",JLPT_1 JLPT,p:ILhp([Gw,Hãy để nó cho
負かす,まかす,to defeat,JLPT_1 JLPT,qi|Hx;t;6u,đánh bại
賄う,まかなう,"to give board to, to provide meals, to pay",JLPT_1 JLPT,z7=~3@j0#5,Che phủ
紛らわしい,まぎらわしい,"confusing, misleading, ambiguous",JLPT_1 JLPT,"h,2f1PppwU",gây nhầm lẫn
紛れる,まぎれる,"to be diverted, to slip into",JLPT_1 JLPT,d#WX3KXSxZ,hòa nhập vào
真心,まごころ,"sincerity, devotion",JLPT_1 JLPT,D6e()w&]x>,chân thành
まごつく,まごつく,"to be confused, to be flustered",JLPT_1 JLPT,f/~oJkW$x!,bối rối
誠,まこと,"truth, faith, fidelity",JLPT_1 JLPT,t$vv<u=?i:,Sự chân thành
誠に,まことに,"indeed, really (very polite), absolutely",JLPT_1 JLPT Genki_Ln.20 Genki,P/8R*Tv!+F,Thật vậy
まさしく,まさしく,"surely, no doubt, evidently",JLPT_1 JLPT,zuz5Xe$DuA,Chính xác
勝る,まさる,"to excel, to surpass, to out-rival",JLPT_1 JLPT,t<|1#xSX&T,Thượng đẳng
～増し,～まし,~increase,JLPT_1 JLPT,z5+QCF_t-U,~ Tăng
交える,まじえる,"to mix, to converse with, to cross (swords)",JLPT_1 JLPT,B~3MEZXI+!,trộn
真下,ました,"right under, directly below",JLPT_1 JLPT,Iz;A7a]fD~,Ngay bên dưới
まして,まして,"still more, still less (with neg. verb), to say nothing of",JLPT_1 JLPT,PY/0T[blt;,Hơn thế nữa
交わる,まじわる,"to cross, to intersect, to mingle with,",JLPT_1 JLPT,mS|?u$Z<><,giao nhau
麻酔,ますい,anesthesia,JLPT_1 JLPT,"mw>M%F[]D,",gây tê
またがる (うまを～),またがる (うまを～),to straddle,JLPT_1 JLPT,uN3HnTL61M,Cưỡi (ngựa)
待ち合わせ,まちあわせ,appointment,JLPT_1 JLPT,IyY!Ll1/sj,Cuộc họp
待ち遠しい,まちどおしい,looking forward to,JLPT_1 JLPT,w+0{4=a9>3,Tôi không thể chờ đợi
待ち望む,まちのぞむ,"to look anxiously for, to wait eagerly for",JLPT_1 JLPT,CwJO9mIIMV,háo hức chờ đợi
まちまち,まちまち,"various, different",JLPT_1 JLPT,Ddw`;bcVVc,thị trấn và làng mạc
末期,まっき,"deathbed, hour of death",JLPT_1 JLPT,GQt+3/1&iv,Giai đoạn cuối
真っ二つ,まっぷたつ,in two equal parts,JLPT_1 JLPT,rhE|8rVnO$,Chia làm hai
まと,まと,"mark, target",JLPT_1 JLPT,Q*)wm/p9we,Thảm
纏まり,まとまり,"conclusion, settlement, consistency",JLPT_1 JLPT,"z55#c:D.,?",Sự gắn kết
纏め,まとめ,"settlement, conclusion",JLPT_1 JLPT,oa&iF{vs}),Bản tóm tắt
免れる,まぬがれる,"to escape from, to be exempted",JLPT_1 JLPT,s%K15EwNfz,Được tha thứ
招き,まねき,invitation,JLPT_1 JLPT,yU~T`=>LDi,vẫy gọi
瞬き,まばたき,"wink, twinkling (of stars), flicker (of light)",JLPT_1 JLPT,P9XKDg!![C,nháy mắt
麻痺,まひ,"paralysis, palsy, numbness",JLPT_1 JLPT,"E,_FTp$2/<",liệt
～まみれ,～まみれ,"covered with (by, in) ~",JLPT_1 JLPT,"sqX,LlH3-A",Được bao phủ bởi
眉,まゆ,eyebrow,JLPT_1 JLPT,s]w/H=It~C,lông mày
鞠,まり,ball,JLPT_1 JLPT,L0Js7PDQey,Ju
丸ごと,まるごと,"in its entirety, whole, wholly",JLPT_1 JLPT,oAOL{@?a=y,trọn
まるっきり,まるっきり,"completely, perfectly, just as if",JLPT_1 JLPT,roz]qfa`JS,Hoàn toàn
丸々,まるまる,completely,JLPT_1 JLPT,eV$3aB(/)x,Trọn
丸める,まるめる,"to make round, to round off, to roll up",JLPT_1 JLPT,Nd=%r[H=>c,cuộn
満月,まんげつ,full moon,JLPT_1 JLPT,dZR3ROGpT$,trăng tròn
満場,まんじょう,"unanimous, whole audience",JLPT_1 JLPT,ffiOG%*5K_,Đầy đủ
真ん前,まんまえ,"right in front, under the nose",JLPT_1 JLPT,B[GBnZiI4Z,Ngay phía trước
真ん丸い,まんまるい,perfectly circular,JLPT_1 JLPT,F)+$.BY>]K,Hoàn toàn tròn
真ん円い,まんまるい,perfectly round,JLPT_1 JLPT,l73GW43&1I,Hoàn toàn tròn
～味,～み,~ cast (sense of taste),JLPT_1 JLPT,JZMc!Ve6^U,~ Hương vị
見合い,みあい,formal marriage interview,JLPT_1 JLPT,dP:cnU(>Lf,hôn nhân sắp đặt
見合わせる,みあわせる,to exchange glances; to postpone,JLPT_1 JLPT,o0gE$9N?58,Hoãn
見落とす,みおとす,"to overlook, to fail to notice",JLPT_1 JLPT,pxrQq~WN~>,tầm nhìn
未開,みかい,"savage land, backward region, uncivilized",JLPT_1 JLPT,A5z6h|*?{|,Không văn minh
味覚,みかく,"taste, palate, sense of taste",JLPT_1 JLPT,lw?sswB?B?,nếm
幹,みき,(tree) trunk,JLPT_1 JLPT,l4N|@LrpFp,Khô
見苦しい,みぐるしい,"unsightly, ugly",JLPT_1 JLPT,"zoS)q7/,pA",xấu xí
見込み,みこみ,"prospects, expectation, hope",JLPT_1 JLPT,AJ2+ju9lav,Triển vọng
未婚,みこん,unmarried,JLPT_1 JLPT,y~*KiMDApr,chưa kết hôn
未熟,みじゅく,"inexperience, unskilled, immature",JLPT_1 JLPT,Mm``I-uL4c,chưa trưởng thành
微塵,みじん,"particle, atom",JLPT_1 JLPT,xr|L`N8dB@,bụi
水気,みずけ,"moisture, dampness",JLPT_1 JLPT,"AAG,tXSTs&",độ ẩm
ミスプリント,ミスプリント,misprint,JLPT_1 JLPT,MN~t-y(9f/,Lỗi in
みすぼらしい,みすぼらしい,"shabby, seedy",JLPT_1 JLPT,zZ?|#(.Ue2,tồi tàn
ミセス,ミセス,Mrs.,JLPT_1 JLPT,FN(%bDaCYE,Bà
見せびらかす,みせびらかす,"to show off, to flaunt",JLPT_1 JLPT,vp0up+%&~4,khoe khoang
見せ物,みせもの,"show, exhibition",JLPT_1 JLPT,Cc24XA|;u.,Cảnh tượng
溝,みぞ,"ditch, drain, gutter, gap",JLPT_1 JLPT,"k,R(3N{_j9",mương
満たす,みたす,"to satisfy, to ingratiate, to fill, to fulfill",JLPT_1 JLPT,B44j~=|$C},thỏa mãn
乱す,みだす,"to throw out of order, to disarrange, to disturb",JLPT_1 JLPT,C%T3isV/48,Phá vỡ
乱れる,みだれる,"to get confused, to be disordered, to be disturbed",JLPT_1 JLPT,KLJg{.X@t^,Rối loạn
未知,みち,not yet known,JLPT_1 JLPT,LJ513rxoTO,không rõ
身近,みぢか,"near oneself, close to one, familiar",JLPT_1 JLPT,bkRa/9L=lh,đóng
導く,みちびく,"to be guided, to be shown",JLPT_1 JLPT,"A,UwJ4E[I_",Để hướng dẫn
密集,みっしゅう,"crowd, close formation, dense",JLPT_1 JLPT,iiclZ|l}Fq,dày đặc
密接,みっせつ,"connected, close, intimate",JLPT_1 JLPT,o{R4~BmT^x,đóng
密度,みつど,density,JLPT_1 JLPT,t`MF+}P~d:,Tỉ trọng
見積もり,みつもり,"estimation, quotation",JLPT_1 JLPT,KD?@iY>SQH,ước lượng
未定,みてい,"not yet fixed, undecided, pending",JLPT_1 JLPT,Q}7[YRL|?=,sẽ được quyết định
見通し,みとおし,"perspective, unobstructed view, prospect",JLPT_1 JLPT,hHCL?CdIG],Triển vọng
見なす,みなす,"to consider as, to regard",JLPT_1 JLPT,E8w4wKW7Y],coi như
源,みなもと,"source, origin",JLPT_1 JLPT,zO=gu0Zqs*,nguồn
見習う,みならう,to follow another's example,JLPT_1 JLPT,p&yDgKca2!,Học hỏi từ
身なり,みなり,personal appearance,JLPT_1 JLPT,s|<m`9tUtv,Vẻ bề ngoài
峰,みね,"peak, ridge",JLPT_1 JLPT,wx-mVJq6fi,đỉnh cao
身の上,みのうえ,"one's future, one's welfare, one's personal history",JLPT_1 JLPT,j-p$+}.^ac,Cuộc sống cá nhân
見逃す,みのがす,"to miss, to overlook, to leave at large",JLPT_1 JLPT,IsG@e1nb*B,cô
身の回り,みのまわり,"one's personal appearance, personal belongings",JLPT_1 JLPT,"[(&,B0kXN",Môi trường xung quanh tôi
見計らう,みはからう,to choose at one's own discretion,JLPT_1 JLPT,"z8AN&Zq,!-",đúng thời điểm
見晴らし,みはらし,view,JLPT_1 JLPT,h3a00LHX8h,xem
身振り,みぶり,gesture,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11,Lm.Fj=%/7a,cử chỉ
脈,みゃく,pulse,JLPT_1 JLPT,C|`|>zxQM+,xung
ミュージック,ミュージック,music,JLPT_1 JLPT,t9mG6QGvsw,Âm nhạc
未練,みれん,"lingering affection, attachment, regret(s)",JLPT_1 JLPT,B=cwZ~017_,Cảm xúc còn vương vấn
見渡す,みわたす,"to look out over, to survey (scene), to take an extensive view of",JLPT_1 JLPT,x&]mO6(]ee,Hãy nhìn xung quanh
民宿,みんしゅく,private house providing lodging and meals to tourists,JLPT_1 JLPT Intermediate_Japanese_Ln.10 Intermediate_Japanese,yy/1y<3;Yk,Nhà nghỉ B&B
民族,みんぞく,"people, race",JLPT_1 JLPT,p>p/|sT6Jg,quốc tịch
民俗,みんぞく,folk customs,JLPT_1 JLPT,M(tc2N/}z{,Văn hóa dân gian
無意味,むいみ,"nonsense, no meaning",JLPT_1 JLPT,B9C6%m[4lF,Vô nghĩa
ムード,ムード,mood,JLPT_1 JLPT,JZzdb{.Zc^,tâm trạng
無口,むくち,reticence,JLPT_1 JLPT,z:Ts^0TQ4#,Im lặng
婿,むこ,son-in-law,JLPT_1 JLPT,bX1GlIQN8L,Con rể
無効,むこう,"invalid, no effect, unavailable",JLPT_1 JLPT,EqE:ixA-k+,không hợp lệ
無言,むごん,silence,JLPT_1 JLPT,fZ{o?TF{7B,Im lặng
無邪気,むじゃき,"innocence, simple-mindedness",JLPT_1 JLPT,L)xB!4E<k?,Vô tội
むしる,むしる,"to pluck, to pick, to tear",JLPT_1 JLPT,.d8S>K-=k,để hái
結び,むすび,"ending, conclusion, union",JLPT_1 JLPT,d{_<>*~x%J,nút thắt
結び付き,むすびつき,"connection, relation",JLPT_1 JLPT,"O3KGVopE,2",Sự liên quan
結び付く,むすびつく,"to be connected or related, to join together",JLPT_1 JLPT,EMFAQ1Kh)m,để kết nối
結び付ける,むすびつける,"to combine, to join, to tie on, to attach with a knot",JLPT_1 JLPT,fRB2/x*X`A,để kết nối
無線,むせん,"wireless, radio",JLPT_1 JLPT,y?)Jdm`O>c,không dây
無駄遣い,むだづかい,"waste money on, squander money on",JLPT_1 JLPT Genki_Ln.22 Genki,"O?A,`d=isH",chi tiêu lãng phí
無断,むだん,"without permission, without notice",JLPT_1 JLPT,I$Ua7qpQZH,Không được phép
無知,むち,ignorance,JLPT_1 JLPT,g+^m*mx.<r,sự thiếu hiểu biết
無茶,むちゃ,"absurd, unreasonable",JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,AEYrHxjg#f,Liều lĩnh
無茶苦茶,むちゃくちゃ,"confused, jumbled, mixed up, unreasonable",JLPT_1 JLPT,KCqc4.UxPr,Hoàn toàn điên rồ
空しい,むなしい,"vacant, futile, vain",JLPT_1 JLPT,P|:1(IV_+~,vô ích
無念,むねん,"chagrin, regret",JLPT_1 JLPT,b;piP^Vw+j,Hối tiếc
無能,むのう,"inefficiency, incompetence",JLPT_1 JLPT,izu(:0$`9@,không có khả năng
無闇に,むやみに,"unreasonably, absurdly, at random",JLPT_1 JLPT,N)&c#LP7Bq,Liều lĩnh
無用,むよう,"useless, needlessness, unnecessariness",JLPT_1 JLPT,"Oc`U#P0i,-",vô ích
斑,むら,"unevenness, inconsistency, irregularity",JLPT_1 JLPT,ejP4z=)m?O,điểm
群がる,むらがる,"to swarm, to gather",JLPT_1 JLPT,vyc%)s7Efv,đàn
無論,むろん,"of course, naturally",JLPT_1 JLPT,I(9V_xrT80,bất kể
名産,めいさん,noted product,JLPT_1 JLPT,KN>?5r|..h,Đặc sản địa phương
名称,めいしょう,name,JLPT_1 JLPT,P!9gSFK*GV,tên
命中,めいちゅう,a hit,JLPT_1 JLPT,Qq0/BP{lJ:,Đánh
明白,めいはく,"obvious, clear",JLPT_1 JLPT,g|K4[<><hX,thông thoáng
名簿,めいぼ,register of names,JLPT_1 JLPT,xkhYhi]K-$,Danh sách thành viên
名誉,めいよ,"honor, credit, prestige",JLPT_1 JLPT,PiLIi1%_ER,tôn kính
明瞭,めいりょう,clarity,JLPT_1 JLPT,"s[dks,f=+A",sự rõ ràng
明朗,めいろう,"bright, clear, cheerful",JLPT_1 JLPT,Kzdx<dR.%],thông thoáng
メーカー,メーカー,manufacturer,JLPT_1 JLPT,r)Eust:VuL,Nhà sản xuất
目方,めかた,weight,JLPT_1 JLPT,"unS}*nsB,_",cân nặng
恵み,めぐみ,blessing,JLPT_1 JLPT,gdikXkV`X<,Chúc phúc
恵む,めぐむ,"to bless, to show mercy to",JLPT_1 JLPT,u_D+Zdxyy/,Đưa cho
目覚しい,めざましい,"brilliant, remarkable",JLPT_1 JLPT,"z8UKuy,l`d",đáng chú ý
目覚める,めざめる,to wake up,JLPT_1 JLPT,~I1tdEiJ_,thức dậy
召す,めす,"to call, to send for, to put on",JLPT_1 JLPT,K%!n2|&<A0,Triệu hồi
